UBC,clay,silt,sand,gravel,om,depth_start,depth_end,description,horizon,opmerking
150000,0.195,0.731,0.074,0,1,0,30,Lichte Zavel homogene ondergrond,A,gemiddelde van LISEM metingen textuur
151000,0.129,0.737,0.134,0,1,0,30,"Zavel en lichte klei, homogene ondergrond",A,gemiddelde van LISEM metingen textuur
120000,0.135,0.593,0.272,7.5,1,0,30,"Kleefaarde, verweerde kalksteen",A,equivalent van Leem VL/W
140000,0.088,0.777,0.135,0,1,0,30,"Colluvium, ooivaaggrond, A-C profiel",A,verspoelde Loss dalbodems en onder aan helling
145000,0.073,0.792,0.135,0,1,0,30,"Brikgronden, met ondiepe Bt 30 cm",A,A-Bt-C
144000,0.088,0.777,0.135,0,1,0,30,"Brikgrond met diepere Bt, 60 cm",A,A-E-Bt-C
143000,0.088,0.777,0.135,7.5,1,0,30,"Loess op kalksteen, vuursteen, ",A, loss op limon calliouteux!
141000,0.088,0.777,0.135,0,1,0,30,Loess op Pleistoceen fluciatiel ondiep,A,Zavel in ondergrond of juist zandig?
210000,0.03,0.22,0.75,0,1,0,30,Sableux/Sable limoneux,A,zandig
220000,0.213,0.694,0.093,0,1,0,30,Limoneux,A,leem
230000,0.231,0.571,0.198,0,1,0,30,"Mix (tourbeux), omgeven met G",A,leem
232000,0.231,0.571,0.198,7.5,1,0,30,Limoneux,A,leem(stenig)
233000,0.231,0.571,0.198,32.5,1,0,30,Limoneux,A,leem(stenig)
250000,0.55,0.3,0.15,0,1,0,30,Argilleux,A,kleirijk
320000,0.213,0.694,0.093,0,1,0,30,Leem,A,leem
330000,0.231,0.571,0.198,0,1,0,30,"Complex, vaak op steile hellingen, omgeven met G",A,leem
333000,0.231,0.571,0.198,32.5,1,0,30,Stenige leem,A,leem stenig
350000,0.55,0.3,0.15,0,1,0,30,kleiig,A,kleirijk
410000,0.03,0.15,0.82,0,1,0,30,Sand,A,zandig
412000,0.08,0.35,0.57,0,1,0,30,Lemigher sand,A,lemig zand
421000,0.15,0.25,0.6,0,1,0,30,Stark Sandiger Lehm,A,zeer zandige leem
420000,0.22,0.35,0.43,0,1,0,30,sandiger Lehm,A,zandige leem
424000,0.23,0.6,0.17,0,1,0,30,Schluffiger Lehm,A,siltige leem
425000,0.4,0.4,0.2,0,1,0,30,Toniger lehm,A, kleirijke leem
450000,0.55,0.3,0.15,0,1,0,30,Ton,A,kleiig
440000,0.12,0.65,0.23,0,1,0,30,Lemigher Schluff,A,loess
424000,0.23,0.6,0.17,0,1,0,30,,A,veen
1000,0.08,0.35,0.57,0,1,0,30,,A,bebopuwde kom (zandig)
99,0.08,0.35,0.57,0,1,0,200,,A,open water
98,0.08,0.35,0.57,0,1,0,200,,A,trein talud
910000,0.03,0.15,0.82,0,1,30,200,C horizon sand,C,
920000,0.213,0.694,0.093,0,1,30,200,C horizon leem,C,
930000,0.231,0.571,0.198,32.5,1,30,200,C horizon stenig leem,C,
940000,0.088,0.777,0.135,0,1,30,200,C horizon loess,C,
950000,0.55,0.3,0.15,0,1,30,200,C horizon klei,C,
