lateral_id,HBV_baseflow
13.001_01,0.003
13.001_02,0.015
13.001_03,0.002
13.001_04,0.001
13.001_05,0.015
13.001_06,0.015
13.007,0.013
13.008,0.02
13.010,0.01
13.515,0.012
13.H.25,0.008
13.Q.34,0.001
11.001_01,0.001
11.001_02,0.001
11.001_03,0.003
11.001_04,0.001
11.001_05,0.0
11.001_06,0.0
11.001_07,0.001
11.001_08,0.002
11.001_09,0.004
11.001_B,0.012
11.001H,0.002
11.005,0.003
11.007K,0.001
11.007L,0.001
11.007M,0.0
11.007O,0.0
11.007R,0.001
12.001_01,0.013
12.001_02,0.012
12.001_03,0.0
12.001_04,0.003
12.001_05,0.0
12.001_06,0.002
12.002,0.022
12.001_B,0.008
12.001_07,0.01
12.012,0.002
12.013,0.009
12.014,0.005
12.014K,0.004
12.014Q,0.006
12.014W,0.001
12.Q.31,0.001
12.Q.50,0.005
10.001_15,0.001
10.001_16,0.012
10.001_17,0.008
10.001_18,0.001
10.001_19,0.006
10.001_20,0.017
10.005,0.027
10.012,0.004
10.014,0.002
10.017,0.005
10.021L,0.001
10.022,0.017
10.024,0.032
10.H.12,0.001
10.H.13,0.001
10.Q.30,0.014
10.001_01,0.006
10.001_02,0.007
10.001_03,0.011
10.001_04,0.008
10.001_05,0.004
10.001_06,0.001
10.001_07,0.006
10.001_08,0.0
10.001_09,0.005
10.001_10,0.009
10.001_11,0.003
10.001_12,0.0
10.001_13,0.001
10.001_14,0.001
10.027U,0.009
10.032,0.004
10.035,0.022
10.039,0.011
10.041,0.005
10.043,0.017
10.045P,0.007
10.045T,0.003
10.046,0.0
10.047,0.01
10.048,0.008
10.051,0.017
10.055,0.007
10.069,0.034
10.H.14,0.01
10.H.16,0.001
10.H.19,0.001
10.Q.36,0.016
12.Q.46,0.003
9.Q.xx,0.02
13.001_B_1,0.0486666666666666
13.001_B_2,0.0486666666666666
13.001_B_3,0.0486666666666666
10.001_B_1,0.0668571428571428
10.001_B_2,0.0668571428571428
10.001_B_3,0.0668571428571428
10.001_B_4,0.0668571428571428
10.001_B_5,0.0668571428571428
10.001_B_6,0.0668571428571428
10.001_B_7,0.0668571428571428
