lateral_id,HBV_baseflow
10.005,0.027
10.017,0.005
10.022,0.017
10.024,0.032
10.032,0.004
10.035,0.022
10.039,0.011
10.041,0.005
10.043,0.017
10.046,0
10.047,0.01
10.048,0.008
10.051,0.017
10.055,0.007
10.069,0.034
11.005,0.003
12.013,0.009
12.014,0.005
13.007,0.013
13.008,0.02
13.01,0.01
13.515,0.012
10.001_01,0.003
10.001_01_1,0.003
10.001_02,0.0035
10.001_02_1,0.0035
10.001_03,0.0055
10.001_03_1,0.0055
10.001_04,0.004
10.001_04_1,0.004
10.001_05,0.002
10.001_05_1,0.002
10.001_06,0.001
10.001_07,0.003
10.001_07_1,0.003
10.001_09,0.005
10.001_10,0.0045
10.001_10_1,0.0045
10.001_11,0.0015
10.001_11_1,0.0015
10.001_13,0.001
10.001_16,0.006
10.001_16_1,0.006
10.001_17,0.004
10.001_17_1,0.004
10.001_18,0.001
10.001_19,0.003
10.001_19_1,0.003
10.001_20,0.00425
10.001_20_1,0.00425
10.001_20_2,0.00425
10.001_20_3,0.00425
10.001_B_1,0.016714286
10.001_B_1_1,0.016714286
10.001_B_1_2,0.016714286
10.001_B_1_3,0.016714286
10.001_B_2,0.033428571
10.001_B_2_1,0.033428571
10.001_B_3,0.066857143
10.001_B_4,0.066857143
10.001_B_5,0.033428571
10.001_B_5_1,0.033428571
10.001_B_6,0.033428571
10.001_B_6_1,0.033428571
10.001_B_7,0.033428571
10.001_B_7_1,0.033428571
10.027U,0.009
10.045P,0.007
10.H.12,0.001
10.H.13,0.001
10.H.14,0.005
10.H.14_1,0.005
10.H.16,0.001
10.H.19,0.001
10.Q.30,0.007
10.Q.30_1,0.007
10.Q.36,0.016
11.001_01,0.0005
11.001_01_1,0.0005
11.001_02,0.0005
11.001_02_1,0.0005
11.001_03,0.0015
11.001_03_1,0.0015
11.001_04,0.001
11.001_05,0
11.001_05_1,0
11.001_07,0.0005
11.001_07_1,0.0005
11.001_08,0.001
11.001_08_1,0.001
11.001_09,0.002
11.001_09_1,0.002
11.001_B,0.012
11.001H,0.002
11.007K,0.001
11.007L,0.001
11.007O,0
11.007R,0.001
12.001_01,0.004333333
12.001_01_1,0.004333333
12.001_01_2,0.004333333
12.001_02,0.006
12.001_02_1,0.006
12.001_03,0
12.001_04,0.0015
12.001_04_1,0.0015
12.001_06,0.001
12.001_06_1,0.001
12.001_07,0.003333333
12.001_07_1,0.003333333
12.001_07_2,0.003333333
12.001_B,0.008
12.014Q,0.006
12.Q.46,0.003
12.Q.50,0.0025
12.Q.50_1,0.0025
13.001_01,0.0015
13.001_01_1,0.0015
13.001_02,0.0075
13.001_02_1,0.0075
13.001_03,0.001
13.001_03_1,0.001
13.001_05,0.005
13.001_05_1,0.005
13.001_05_2,0.005
13.001_06,0.0075
13.001_06_1,0.0075
13.001_B_2,0.024333333
13.001_B_2_1,0.024333333
13.001_B_3,0.024333333
13.001_B_3_1,0.024333333
13.H.25,0.002
13.H.25_1,0.002
13.H.25_2,0.002
13.H.25_3,0.002
13.Q.34,0.001
