min10,T50,T100,T500,T500_uur,T5_landex,T10_landex,T25_landex,T10_dry,T10_wet,T25_dry,T25_wet,T100_dry,T100_wet,T500_dry,T500_wet
1,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.019,0,0,0,0,0,0
2,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.019,0,0,0,0,0,0
3,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.019,0,0,0,0,0,0
4,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.019,0,0,0,0,0,0
5,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.019,0,0,0,0,0,0
6,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.019,0,0,0,0,0,0
7,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2397,0.0627,0.025,0.0752,0.0377,0.1003,0.046
8,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2397,0.0627,0.025,0.0752,0.0377,0.1003,0.046
9,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2397,0.0627,0.025,0.0752,0.0377,0.1003,0.046
10,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2397,0.0627,0.025,0.0752,0.0377,0.1003,0.046
11,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2397,0.0627,0.025,0.0752,0.0377,0.1003,0.046
12,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2397,0.0627,0.025,0.0752,0.0377,0.1003,0.046
13,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2138,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
14,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2138,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
15,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2138,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
16,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2138,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
17,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2138,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
18,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2138,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
19,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.1505,0.869,0.2507,0.1003,0.3008,0.1505,0.4012,0.1838
20,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.1505,0.869,0.2507,0.1003,0.3008,0.1505,0.4012,0.1838
21,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.1505,0.869,0.2507,0.1003,0.3008,0.1505,0.4012,0.1838
22,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.1505,0.869,0.2507,0.1003,0.3008,0.1505,0.4012,0.1838
23,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.1505,0.869,0.2507,0.1003,0.3008,0.1505,0.4012,0.1838
24,0.2917,0.3333,0.2083,0.2083,0.433,0.5,0.6,0.1505,0.869,0.2507,0.1003,0.3008,0.1505,0.4012,0.1838
25,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.188,0.0717,0.3133,0.1253,0.376,0.188,0.5013,0.2298
26,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.188,0.0717,0.3133,0.1253,0.376,0.188,0.5013,0.2298
27,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.188,0.0717,0.3133,0.1253,0.376,0.188,0.5013,0.2298
28,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.188,0.0717,0.3133,0.1253,0.376,0.188,0.5013,0.2298
29,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.188,0.0717,0.3133,0.1253,0.376,0.188,0.5013,0.2298
30,0.6667,0.8333,0.5833,0.5833,0.817,0.967,1.233,0.188,0.0717,0.3133,0.1253,0.376,0.188,0.5013,0.2298
31,1.5,1.6667,2.3333,2.3333,0.817,0.967,1.233,4.8887,0.0352,8.1478,3.2592,9.7773,4.8887,13.0363,5.975
32,1.5,1.6667,2.3333,2.3333,0.817,0.967,1.233,4.8887,0.0352,8.1478,3.2592,9.7773,4.8887,13.0363,5.975
33,1.5,1.6667,2.3333,2.3333,1.175,1.433,1.867,4.8887,0.0352,8.1478,3.2592,9.7773,4.8887,13.0363,5.975
34,5,6,10.5,15.1667,1.533,1.9,2.5,4.8887,0.0352,8.1478,3.2592,9.7773,4.8887,13.0363,5.975
35,6.5,8.5,14.5,15.1667,3.05,3.9,5.85,4.8887,0.0352,8.1478,3.2592,9.7773,4.8887,13.0363,5.975
36,25,29,41,15.1667,15.1,17.5,20.3,4.8887,0.0352,8.1478,3.2592,9.7773,4.8887,13.0363,5.975
37,6.5,8.5,14.5,15.1667,3.05,3.9,5.85,1.8803,0.0592,3.1338,1.2535,3.7605,1.8803,5.014,2.2982
38,5,6,10.5,15.1667,1.533,1.9,2.5,1.8803,0.0592,3.1338,1.2535,3.7605,1.8803,5.014,2.2982
39,1.5,1.6667,2.3333,15.1667,1.175,1.433,1.867,1.8803,0.0592,3.1338,1.2535,3.7605,1.8803,5.014,2.2982
40,1.5,1.6667,2.3333,2.3333,0.817,0.967,1.233,1.8803,0.0592,3.1338,1.2535,3.7605,1.8803,5.014,2.2982
41,1.5,1.6667,2.3333,2.3333,0.817,0.967,1.233,1.8803,0.0592,3.1338,1.2535,3.7605,1.8803,5.014,2.2982
42,0.6667,0.8333,0.5833,2.3333,0.817,0.967,1.233,1.8803,0.0592,3.1338,1.2535,3.7605,1.8803,5.014,2.2982
43,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.1128,0.202,0.188,0.0752,0.2257,0.1128,0.3008,0.1378
44,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.1128,0.202,0.188,0.0752,0.2257,0.1128,0.3008,0.1378
45,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.1128,0.202,0.188,0.0752,0.2257,0.1128,0.3008,0.1378
46,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.1128,0.202,0.188,0.0752,0.2257,0.1128,0.3008,0.1378
47,0.6667,0.8333,0.5833,0.5833,0.433,0.5,0.6,0.1128,0.202,0.188,0.0752,0.2257,0.1128,0.3008,0.1378
48,0.2917,0.3333,0.2083,0.5833,0.433,0.5,0.6,0.1128,0.202,0.188,0.0752,0.2257,0.1128,0.3008,0.1378
49,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,0.7155,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
50,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,0.7155,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
51,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,0.7155,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
52,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,0.7155,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
53,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,0.7155,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
54,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,0.7155,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
55,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2048,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
56,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2048,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
57,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2048,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
58,0.2917,0.3333,0.2083,0.2083,0.242,0.263,0.296,0.0752,1.2048,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
59,0.2917,0.3333,0.2083,0.2083,0.021,0.158,0.167,0.0752,1.2048,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
60,0.2,0.16,0.12,0.2083,0.021,0.158,0.167,0.0752,1.2048,0.1253,0.0502,0.1505,0.0752,0.2005,0.092
61,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2893,0.0627,0.025,0.0752,0.0377,0.1003,0.046
62,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2893,0.0627,0.025,0.0752,0.0377,0.1003,0.046
63,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2893,0.0627,0.025,0.0752,0.0377,0.1003,0.046
64,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2893,0.0627,0.025,0.0752,0.0377,0.1003,0.046
65,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2893,0.0627,0.025,0.0752,0.0377,0.1003,0.046
66,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0.0377,0.2893,0.0627,0.025,0.0752,0.0377,0.1003,0.046
67,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.0948,0,0,0,0,0,0
68,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.0948,0,0,0,0,0,0
69,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.0948,0,0,0,0,0,0
70,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.0948,0,0,0,0,0,0
71,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.0948,0,0,0,0,0,0
72,0.2,0.16,0.12,0.125,0.021,0.158,0.167,0,0.0948,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,77.0012,89.999,119.9986,119.9988,42.342,53.399,65.89,45.1278,30.084,75.2094,30.0846,90.2532,45.1278,120.3342,55.1556
