soil,ksat_O,ksat_A,ksat_BC,n_O,n_A,n_BC,alpha_O,alpha_A,alpha_BC,description,cal_comment
0,1,1,1,1,1,1,1,1,1,bebouwd,
120,1,1,1,1,1,1,1,1,1,"Kleefaarde, verweerde kalksteen",
140,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,Loess,
141,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess, Brikgrond met diepere Bt, 60 cm",
142,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess, Brikgrond, met ondiepe Bt 30 cm",
143,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess op glauconiet,kalksteen, vuursteen,",
144,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess, Colluvium, ooivaaggrond, A-C profiel",
145,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess, Zavel in ondergrond",
150,1,1,1,1,1,1,1,1,1,Lichte Zavel homogene ondergrond,
151,1,1,1,1,1,1,1,1,1,"Zavel en lichte klei, homogene ondergrond",
210,1,1,1,1,1,1,1,1,1,Sableux/Sable limoneux,
220,1,1,0.1,1,1,1,1,1,1,Limoneux,
230,1,1,0.1,1,1,1,1,1,1,"Limoneux, Mix (tourbeux), omgeven met G",
231,1,1,0.1,1,1,1,1,1,1,"Limoneux sableux, peu callouteux",
232,1,1,0.1,1,1,1,1,1,1,Limoneux,
233,1,1,0.1,1,1,1,1,1,1,"Limoneux, peu calliouteux",
235,1,1,0.1,1,1,1,1,1,1,"Limoneux calcaire, peu callouteux",
250,1,1,1,1,1,1,1,1,1,Argilleux,
320,1,1,0.1,1,1,1,1,1,1,Leem,
330,1,1,0.1,1,1,1,1,1,1,"Leem, Complex, omgeven met G",
333,1,1,0.1,1,1,1,1,1,1,Stenige leem,
350,1,1,0.1,1,1,1,1,1,1,kleiig,
410,1,1,1,1,1,1,1,1,1,Sand,
412,1,1,1,1,1,1,1,1,1,Lemigher sand,
420,1,1,1,1,1,1,1,1,1,sandiger Lehm,
424,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess, Schluffiger Lehm",
425,1,1,0.1,1,1,1,1,1,1,Toniger lehm (=leem(V)/ limoneux(W)),
440,1,1,1,0.79,0.79,0.79,7.5,7.5,7.5,"Loess, Lemigher Schluff",
450,1,1,0.1,1,1,1,1,1,1,Ton  (=Kleefaarde),
