LISEM_ID,latknoop_ID
1,10.H.13
2,10.Q.36
3,10.001_11
4,10.001_11
5,10.001_16
6,10.035
7,10.001_B_7
8,10.001_B_7
9,10.069
10,10.001_01
11,10.027U
12,10.H.19
13,13.001_02
14,10.032
15,10.001_02
16,10.017
17,13.01
18,13.Q.34
19,10.001_02
20,13.001_06
21,13.001_06
22,13.001_02
23,10.001_17
24,10.001_B_6
25,10.001_B_6
26,10.055
27,10.001_03
28,10.Q.30
29,10.Q.30
30,10.001_04
31,10.001_03
32,10.051
33,10.001_04
34,13.008
35,10.001_17
36,10.048
39,10.H.12
40,13.001_03
41,13.001_03
42,10.H.14
43,10.045P
44,10.H.14
45,10.001_06
46,10.001_19
47,13.H.25
48,10.001_19
49,13.H.25
50,13.007
52,10.H.16
53,10.001_05
54,10.046
55,10.001_05
56,10.047
57,10.005
58,13.515
59,13.H.25
60,10.001_07
61,13.H.25
62,13.001_05
63,13.001_B_3
64,13.001_B_3
65,10.043
66,10.001_07
67,10.001_20
68,10.041
69,10.001_20
70,10.024
72,13.001_01
73,10.001_13
74,13.001_01
75,10.001_10
76,10.001_10
77,10.001_20
78,10.001_20
79,10.039
80,13.001_B_2
81,13.001_B_2
82,13.001_05
84,13.001_05
85,10.001_16
86,10.001_B_5
87,10.001_B_5
88,10.001_B_4
89,10.001_B_3
90,10.001_B_2
91,10.001_B_1
92,10.001_B_1
93,10.001_B_1
94,10.001_B_1
95,10.001_B_2
96,12.Q.46
97,12.Q.50
98,12.Q.50
99,12.001_01
100,12.001_01
101,12.001_01
102,12.001_02
103,12.014Q
104,12.001_02
105,12.001_04
107,12.014
109,12.001_04
110,12.013
111,12.001_06
112,12.001_06
113,12.001_07
114,12.001_07
115,12.001_B
116,11.001_01
117,11.001_01
118,11.001_02
119,11.007R
120,11.001_02
121,11.001_03
122,11.001_04
123,11.001_03
124,11.007O
125,11.001_05
126,11.001_05
127,11.007K
128,11.001_08
129,11.001_07
130,11.007L
131,11.001_07
132,11.001_08
133,11.001H
134,11.005
135,11.001_B
136,11.001_09
137,11.001_09
138,12.001_07
139,10.001_09
140,10.001_01
37,10.001_18
71,10.022
106,12.001_03
