 ,UBC,soil_map_unit,description,main_tex,CODE,depth,clay,silt,sand,gravel,om,note
X,100,bebouwde kom,,S,100,100,0.08,0.35,0.57,0,0.5,bebopuwde kom (zandig)
NL,120000,KK en  varianten,"Kleefaarde, verweerde kalksteen",K,120000-A,30,0.284,0.584,0.133,5,1.5,
NL,120000,KK en  varianten,"Kleefaarde, verweerde kalksteen",K,120000-B,40,0.284,0.584,0.133,7.5,1,
NL,120000,KK en  varianten,"Kleefaarde, verweerde kalksteen",K,120000-C,120,0.284,0.584,0.133,10,0.5,
NL,140000,"AHl,Ahc",Loess ,Ahlc,140000-A,30,0.088,0.777,0.135,0,1.5,
NL,140000,"AHl,Ahc",Loess ,Ahlc,140000-C,350,0.088,0.777,0.135,0,0.5,
NL,141000,BLd6,"Brikgrond met diepere Bt, 60 cm",BLd,141000-A,30,0.088,0.792,0.12,0,1.5,
NL,141000,BLd6,"Brikgrond met diepere Bt, 60 cm",BLd,141000-E,60,0.07,0.792,0.138,0,1,
NL,141000,BLd6,"Brikgrond met diepere Bt, 60 cm",BLd,141000-Bt,100,0.11,0.792,0.098,0,0.5,
NL,141000,BLd6,"Brikgrond met diepere Bt, 60 cm",BLd,141000-C,350,0.088,0.792,0.12,0,0.5,
NL,142000,"BLh6, BLn6, BLb6","Brikgronden, met ondiepe Bt 30 cm",BL,142000-A,30,0.073,0.792,0.134,0,1.5,
NL,142000,"BLh6, BLn6, BLb6","Brikgronden, met ondiepe Bt 30 cm",BL,142000-Bt,50,0.11,0.792,0.098,0,0.5,
NL,142000,"BLh6, BLn6, BLb6","Brikgronden, met ondiepe Bt 30 cm",BL,142000-C,350,0.073,0.792,0.134,0,0.5,
NL,143000,"AHa,AHk,AHs","Loess op glauconiet,kalksteen, vuursteen, ",AH,143000-A,30,0.088,0.777,0.135,5,1.5,
NL,143000,"AHa,AHk,AHs","Loess op glauconiet,kalksteen, vuursteen, ",AH,143000-B,40,0.088,0.777,0.135,10,0.5,
NL,143000,"AHa,AHk,AHs","Loess op glauconiet,kalksteen, vuursteen, ",AH,143000-C,200,0.284,0.584,0.133,15,0.5,idem 120000-C
NL,144000,Ldh6 e.a. LD varianten,"Colluvium, ooivaaggrond, A-C profiel",L,144000-A,30,0.088,0.777,0.135,1,1.5,
NL,144000,Ldh6 e.a. LD varianten,"Colluvium, ooivaaggrond, A-C profiel",L,144000-C,200,0.088,0.777,0.135,2,0.5,
NL,145000,"FG varianten, Abl",Zavel in ondergrond,FG,145000-A,30,0.088,0.777,0.135,0,1.5,
NL,145000,"FG varianten, Abl",idem 150000-C,FG,145000-C,120,0.129,0.737,0.134,0,0.5,
NL,150000,4004/4019 (M),Lichte Zavel homogene ondergrond,M,150000-A,30,0.129,0.737,0.134,0,1.5,
