lu_nr,description,rr,n_res,n_veg,om,smax_eq,od,cover,n,notes
1,akker,0.1,0.01,0.01,2.53,1,10,0.7,0.018,DO NOT CHANGE fixed during calibration
2,loofbos,0.07,0.06,0.09,7.75,6,20,0.9,0.1417,DO NOT CHANGE fixed during calibration
3,(productie) grasland,0.13,0.02,0.03,5.65,8,10,0.7,0.0423,DO NOT CHANGE fixed during calibration
4,natuurlijk grasland,0.08,0.01,0.06,6.55,8,10,0.8,0.0588,DO NOT CHANGE fixed during calibration
5,verhard,0.05,0.05,0,0.9,8,5,0.05,0.0505,DO NOT CHANGE fixed during calibration
6,water bodies,0,0.1,0,0,0,1,0,0.1,DO NOT CHANGE fixed during calibration
7,naaldbos,0.07,0.05,0.08,9.5,3,20,0.9,0.1227,DO NOT CHANGE fixed during calibration
11,structuurrijk_grasland,0.13,0.02,0.03,7.86,8,10,0.7,0.0647,
12,natuurlijk_hooiland,0.08,0.01,0.06,6.55,8,10,0.8,0.0588,
13,productie_grasland,0.13,0.02,0.03,5.65,8,10,0.7,0.0423,
14,voedselbos,0.07,0.06,0.09,6.975,6,20,0.9,0.09919,
15,natuurlijk_bos,0.07,0.06,0.09,7.75,6,20,0.9,0.1417,
16,omvorming_naaldbos,0.07,0.06,0.09,7.75,6,20,0.9,0.1417,
